/product-group/searchById/{id},get,searchById
/product-group/searchById/{id},post,searchById_1
/object/treeListGet,get,treeListGet
/object/treeListGet,post,treeListGet_1
/wxa/msg_sec_check?access_token={access_token},post,msgSecCheck
/webapi/api/order/pushmsg,post,pushMsg
/v2.0/productlist/busCompanyProdlistSearch,post,busCompanyProdlistSearch
/v2.0/product/searchCompanySaleableProduct,post,searchCompanySaleableProduct
/v2.0/product/searchCompanyNonSaleableProduct,post,searchCompanyNonSaleableProduct
/v2.0/product/busUpdate,post,busUpdate
/v2.0/product/busSearch,post,busSearch
/v2.0/product/busCreate,post,busCreate
/productlist/v1.0/searchProductList,post,searchProductList
/productlist/update,post,update
/productlist/updateStatus,post,updateStatus
/productlist/searchProductList,post,searchProductList_1
/productlist/searchParam,post,searchParam
/productlist/getStoreProductListByCustomerIDList,post,getStoreProductListByCustomerIDList
/productlist/create,post,create
/productitem/syncProductTagItemByCompanyCode,post,syncProductTagItemByCompanyCode
/productitem/syncProductGroupByCompanyCode,post,syncProductGroupByCompanyCode
/productitem/search,post,search
/productitem/searchParam,post,searchParam_1
/productitem/getProductItemByCompany,post,getProductItemByCompany
/productitem/delete,post,delete
/productitem/createList,post,createList
/product-key/delete,post,delete_1
/product-group/update,post,update_1
/product-group/unbinding-product-group,post,unbindingProductGroup
/product-group/unbind-productgroup-search,post,unbindProductGroupSearch
/product-group/searchProdGroupProduct,post,searchProdGroupProduct
/product-group/search-with-productcounts,post,productGroupProductCount
/product-group/productGroupTagType2Search,post,productGroupTagType2Search
/product-group/create,post,create_1
/prodcustkeyvalue/search,post,search_1
/prodcustkeyvalue/delete,post,delete_2
/prodcustkeyvalue/createList,post,createList_1
/prodcust/searchParam,post,searchParam_2
/ordersalemasteriallist/busSearchWhiteList,post,busSearchWhiteList
/ordersalemasteriallist/busSearchSalable,post,busSearchSalable
/ordersalemasteriallist/busSearchLKTSalable,post,busSearchLKTSalable
/ordersalemasteriallist/busSearchLKTBlackList,post,busSearchLKTBlackList
/ordersalemasteriallist/busSearchBlackList,post,busSearchBlackList
/orderlimit/busOrderLimitSearch,post,busOrderLimitSearch
/object/upset,post,upset
/object/update,post,update_2
/object/updateWithFK,post,updateWithFK
/object/updateBatch,post,updateBatch
/object/search,post,search_2
/object/searchForGroupBy,post,searchForGroupBy
/object/searchById,post,searchById_2
/object/objectsGet,get,objectsGet
/object/objectsGet,post,objectsGetForPost
/object/multipleCreate,post,multipleCreate
/object/listUpdate,post,updateList
/object/listUpdateWithTrans,post,updateListWithTrans
